schid,survdd,survmo,survyy,survhhst,survminst,gender,saveamt,end_saveamt,saving_attitude_index,end_saving_attitude_index,student_number_school
101,13,10,2010,11,40,Male ,2.3,11,.024145407507991,-.0684479630038319,1
101,14,10,2010,11,34, Male,0,12.4,.024145407507991,-.0684479630038319,2
101,13,10,2010,11,46,Male ,0,11,.024145407507991,-.8018310505290924,3
101,13,10,2010,11,44,Female ,0,12,-1.868931203711675,-34062.96152006112,4
101,13,10,2010,11,42,Female,0,12,.024145407507991,.0315520369961682,5
101,13,10,2010,12,21,Female ,10,12,-.4988546877534502,1.265165516991605,6
101,13,10,2010,12,25,Female ,0,12,1.736741026936109,-.9059424541415321,7
101,14,10,2010,11,59,Female ,2.5999999,19,1.633985183608623,2.647328919502679,8
101,13,10,2010,12,30, Male,10,11,-.6068801295652311,.672535233856918,9
101,13,10,2010,12,30,Male,6.5,11,.024145407507991,-1.26197551762973,10
101,13,10,2010,12,48,Male ,.89999998,11,.024145407507991,-.3833576041618699,11
101,13,10,2010,13,0,Female,0,12.9,.024145407507991,-.736029971059228,12
101,14,10,2010,12,56,Male,.60000002,11.6,.024145407507991,.7822641639371507,13
101,13,10,2010,13,11,Male ,4,24,.024145407507991,.6595685614078138,14
101,13,10,2010,12,21,Female,0,19,.024145407507991,.3607388354123082,15
101,13,10,2010,13,21,Female,0,12,-.6068801295652311,-162.0951901228652,16
101,13,10,2010,13,36, Male,4,11,-.1563355842835573,502.2958802862165,17
101,13,10,2010,13,55, Male,0,16,.024145407507991,1.001722032273058,18
101,14,10,2010,13,44,Female,0,12,.6064279242382704,.065951210748398,19
101,14,10,2010,8,45,Female,0,17.1,.024145407507991,1.852631159828173,20
101,14,10,2010,9,3,Female,0,12,-1.868931203711675,.0119083166244512,21
101,14,10,2010,8,32,Male ,6,13.05,-.841373791223343,.8408664174664054,22
101,14,10,2010,11,9,Female,0,12,1.325718061940776,.580196679221889,23
101,14,10,2010,8,24,Female ,0,12,.024145407507991,-.6409865617984911,24
101,14,10,2010,8,31, Male,0,11,.024145407507991,.480196679221889,25
101,14,10,2010,8,32,Female,0,12,-.6068801295652311,-.2947185274961185,26
101,14,10,2010,9,22,Male,5,20,.024145407507991,1.354130717278113,27
101,14,10,2010,9,15, Male,0,13,1.325718061940776,-1.055896202956529,28
101,14,10,2010,9,39,Female,5,15,1.736741026936109,.0315520369961682,29
101,14,10,2010,9,52,Male ,0,16,.024145407507991,1.291691882431602,30
101,14,10,2010,10,1,Male,0,11,.024145407507991,.8408664174664054,31
101,14,10,2010,10,10, Female,1,12,.024145407507991,.0123713106597541,32
101,14,10,2010,10,17,Female,3,12,.024145407507991,.6731406143833288,33
101,14,10,2010,10,36,Female,1,16,-1.237905666638453,1.403461177502687,34
101,14,10,2010,11,6,Female,.89999998,13,-.6068801295652311,.580196679221889,35
101,14,10,2010,11,35,Male,15,11,1.736741026936109,-.0684479630038319,36
101,14,10,2010,11,39,Female,6,16.5,.024145407507991,1.749320840068223,37
101,14,10,2010,11,20,Male,0,11,1.565481424161836,.5145958529741189,38
101,14,10,2010,11,50,Male,0,11,.024145407507991,1.314197214428706,39
101,14,10,2010,10,30,Male ,0,11,-1.868931203711675,-.0684479630038319,40
102,29,10,2010,8,53,Male,0,11,.024145407507991,.2926301469775207,1
102,29,10,2010,8,0,Female,10,32,-.6068801295652311,1.654535860234374,2
102,29,10,2010,8,50,Male ,5,11,.024145407507991,.9992141700860404,3
102,29,10,2010,9,0,Female ,0,12,-1.237905666638453,-.2833576041618699,4
102,29,10,2010,8,28,Male,0,17,1.105715489862887,1.220240980736508,5
102,29,10,2010,9,25,Female,2.5,17,-.6068801295652311,.3381788811167378,6
102,29,10,2010,10,35,Female,39,112,.5721759934755505,1.096371339346814,7
102,29,10,2010,9,23, Female,0,16,.024145407507991,.4643026406214927,8
102,29,10,2010,9,2,Male,3,31,-.6068801295652311,2.027330259976744,9
102,29,10,2010,9,55,Male ,0,11,.024145407507991,.3118654956124015,10
102,29,10,2010,10,0,Female ,6,19,1.105715489862887,-.6292172667274066,11
102,29,10,2010,9,31,Male,0,11,.1321708493197719,-.7100365403909924,12
102,29,10,2010,10,0, Female,100,76.5,1.736741026936109,1.098805798349204,13
102,29,10,2010,10,33,Male,0,14,.024145407507991,2.56400180000296,14
102,29,10,2010,10,2,Female,0,22,-.6068801295652311,1.457095699889798,15
102,29,10,2010,11,35,Male,0,23,1.105715489862887,1.165165516991605,16
102,29,10,2010,10,33,Male,0,31,-.6068801295652311,.3118654956124015,17
102,29,10,2010,11,2,Male,2,23,1.105715489862887,.1535177429927664,18
102,29,10,2010,10,30,Male,0,11,-.6068801295652311,-.0684479630038319,19
102,29,10,2010,11,10,Male ,4,14,-1.237905666638453,.6040906357908272,20
102,29,10,2010,11,40,Male,16,41,1.736741026936109,1.111450954177849,21
102,29,10,2010,11,8,Female,0,21,-.6068801295652311,.3582309732252907,22
102,29,10,2010,11,3,Female,0,15,.024145407507991,1.0771906130104,23
102,29,10,2010,12,5,Male,.2,16,-1.237905666638453,-.3833576041618699,24
102,29,10,2010,11,36,Male,0,19,.024145407507991,1.36656095625317,25
102,29,10,2010,12,10, Female,0,30,.024145407507991,1.321179876082639,26
102,29,10,2010,12,30,Male ,0,12,.1321708493197719,-.3173474650981694,27
102,29,10,2010,12,20,Female,14,-999,-.6068801295652311,-999,28
102,29,10,2010,11,42,Male ,13,21,-.6068801295652311,.6577251581779382,29
102,29,10,2010,1,0, Male,5,11,.4746899527896649,1.041776401195589,30
102,,,2010,12,35,Male,8,11,1.736741026936109,1.295510157872693,31
102,29,10,2010,12,12,Female,0,30,.024145407507991,.8559224002735074,32
102,29,10,2010,13,2,Male,15,16,-.6068801295652311,2.407643718592977,33
102,29,10,2010,13,5,Female,0,12,.024145407507991,.0462375659911062,34
102,29,10,2010,13,36,Male ,0,220,-.6068801295652311,.6190287369529014,35
102,29,10,2010,12,42,Female,0,17,.024145407507991,.7505116767812776,36
102,29,10,2010,13,35, Male,0,11,.024145407507991,.6189007114698071,37
102,29,10,2010,13,11,Female,7,19,.024145407507991,.7214085736568245,38
102,29,10,2010,14,10, Female,0,35,.024145407507991,-.7471886494893706,39
102,29,10,2010,14,40,Male,0,75,-1.868931203711675,1.702955362455334,40
103,13,10,2010,12,35,Male,9.5,13,.024145407507991,.2774116995617047,1
103,13,10,2010,13,10,Female,4,-999,.024145407507991,-999,2
