"schid","survdd","survmo","survyy","survhhst","survminst","gender","saveamt","end_saveamt","saving_attitude_index","end_saving_attitude_index","student_number_school","region_district","samp","new_column","date_time","samp_Aflatoun","samp_Control","samp_SFE"
"101","14","10","2010","11","35","Male",15,11,1.73674102693611,-0.0684479630038319,"36","Western_10","Aflatoun",10136,"10/14/2010 11:35",1,0,0
"101","14","10","2010","11","39","Female",6,16.5,0.024145407507991,1.74932084006822,"37","Western_10","Aflatoun",10137,"10/14/2010 11:39",1,0,0
"101","14","10","2010","11","20","Male",0,11,1.56548142416184,0.514595852974119,"38","Western_10","Aflatoun",10138,"10/14/2010 11:20",1,0,0
"101","14","10","2010","11","50","Male",0,11,0.024145407507991,1.31419721442871,"39","Western_10","Aflatoun",10139,"10/14/2010 11:50",1,0,0
"101","14","10","2010","10","30","Male",0,11,-1.86893120371167,-0.0684479630038319,"40","Western_10","Aflatoun",10140,"10/14/2010 10:30",1,0,0
"102","29","10","2010","8","53","Male",0,11,0.024145407507991,0.292630146977521,"01","Western_1","Aflatoun",10201,"10/29/2010 8:53",1,0,0
"102","29","10","2010","8","0","Female",10,32,-0.606880129565231,1.65453586023437,"02","Western_1","Aflatoun",10202,"10/29/2010 8:0",1,0,0
"102","29","10","2010","8","50","Male",5,11,0.024145407507991,0.99921417008604,"03","Western_1","Aflatoun",10203,"10/29/2010 8:50",1,0,0
"102","29","10","2010","9","0","Female",0,12,-1.23790566663845,-0.28335760416187,"04","Western_1","Aflatoun",10204,"10/29/2010 9:0",1,0,0
"102","29","10","2010","8","28","Male",0,17,1.10571548986289,1.22024098073651,"05","Western_1","Aflatoun",10205,"10/29/2010 8:28",1,0,0
"102","29","10","2010","9","25","Female",2.5,17,-0.606880129565231,0.338178881116738,"06","Western_1","Aflatoun",10206,"10/29/2010 9:25",1,0,0
"102","29","10","2010","10","35","Female",39,112,0.57217599347555,1.09637133934681,"07","Western_1","Aflatoun",10207,"10/29/2010 10:35",1,0,0
"102","29","10","2010","9","23","Female",0,16,0.024145407507991,0.464302640621493,"08","Western_1","Aflatoun",10208,"10/29/2010 9:23",1,0,0
"102","29","10","2010","9","2","Male",3,31,-0.606880129565231,2.02733025997674,"09","Western_1","Aflatoun",10209,"10/29/2010 9:2",1,0,0
"102","29","10","2010","9","55","Male",0,11,0.024145407507991,0.311865495612402,"10","Western_1","Aflatoun",10210,"10/29/2010 9:55",1,0,0
"102","29","10","2010","10","0","Female",6,19,1.10571548986289,-0.629217266727407,"11","Western_1","Aflatoun",10211,"10/29/2010 10:0",1,0,0
"102","29","10","2010","9","31","Male",0,11,0.132170849319772,-0.710036540390992,"12","Western_1","Aflatoun",10212,"10/29/2010 9:31",1,0,0
"102","29","10","2010","10","0","Female",100,76.5,1.73674102693611,1.0988057983492,"13","Western_1","Aflatoun",10213,"10/29/2010 10:0",1,0,0
"102","29","10","2010","10","33","Male",0,14,0.024145407507991,2.56400180000296,"14","Western_1","Aflatoun",10214,"10/29/2010 10:33",1,0,0
"102","29","10","2010","10","2","Female",0,22,-0.606880129565231,1.4570956998898,"15","Western_1","Aflatoun",10215,"10/29/2010 10:2",1,0,0
"102","29","10","2010","11","35","Male",0,23,1.10571548986289,1.16516551699161,"16","Western_1","Aflatoun",10216,"10/29/2010 11:35",1,0,0
"102","29","10","2010","10","33","Male",0,31,-0.606880129565231,0.311865495612402,"17","Western_1","Aflatoun",10217,"10/29/2010 10:33",1,0,0
"102","29","10","2010","11","2","Male",2,23,1.10571548986289,0.153517742992766,"18","Western_1","Aflatoun",10218,"10/29/2010 11:2",1,0,0
"102","29","10","2010","10","30","Male",0,11,-0.606880129565231,-0.0684479630038319,"19","Western_1","Aflatoun",10219,"10/29/2010 10:30",1,0,0
"102","29","10","2010","11","10","Male",4,14,-1.23790566663845,0.604090635790827,"20","Western_1","Aflatoun",10220,"10/29/2010 11:10",1,0,0
"102","29","10","2010","11","40","Male",16,41,1.73674102693611,1.11145095417785,"21","Western_1","Aflatoun",10221,"10/29/2010 11:40",1,0,0
"102","29","10","2010","11","3","Female",0,15,0.024145407507991,1.0771906130104,"23","Western_1","Aflatoun",10223,"10/29/2010 11:3",1,0,0
"102","29","10","2010","12","5","Male",0.2,16,-1.23790566663845,-0.38335760416187,"24","Western_1","Aflatoun",10224,"10/29/2010 12:5",1,0,0
"102","29","10","2010","11","36","Male",0,19,0.024145407507991,1.36656095625317,"25","Western_1","Aflatoun",10225,"10/29/2010 11:36",1,0,0
"102","29","10","2010","12","10","Female",0,30,0.024145407507991,1.32117987608264,"26","Western_1","Aflatoun",10226,"10/29/2010 12:10",1,0,0
"102","29","10","2010","12","30","Male",0,12,0.132170849319772,-0.317347465098169,"27","Western_1","Aflatoun",10227,"10/29/2010 12:30",1,0,0
"102","29","10","2010","12","20","Female",14,-999,-0.606880129565231,-999,"28","Western_1","Aflatoun",10228,"10/29/2010 12:20",1,0,0
"102","29","10","2010","11","42","Male",13,21,-0.606880129565231,0.657725158177938,"29","Western_1","Aflatoun",10229,"10/29/2010 11:42",1,0,0
"102","29","10","2010","1","0","Male",5,11,0.474689952789665,1.04177640119559,"30","Western_1","Aflatoun",10230,"10/29/2010 1:0",1,0,0
"102","29","10","2010","12","12","Female",0,30,0.024145407507991,0.855922400273507,"32","Western_1","Aflatoun",10232,"10/29/2010 12:12",1,0,0
"102","29","10","2010","13","2","Male",15,16,-0.606880129565231,2.40764371859298,"33","Western_1","Aflatoun",10233,"10/29/2010 13:2",1,0,0
"102","29","10","2010","13","5","Female",0,12,0.024145407507991,0.0462375659911062,"34","Western_1","Aflatoun",10234,"10/29/2010 13:5",1,0,0
"102","29","10","2010","13","36","Male",0,220,-0.606880129565231,0.619028736952901,"35","Western_1","Aflatoun",10235,"10/29/2010 13:36",1,0,0
"102","29","10","2010","12","42","Female",0,17,0.024145407507991,0.750511676781278,"36","Western_1","Aflatoun",10236,"10/29/2010 12:42",1,0,0
"102","29","10","2010","13","35","Male",0,11,0.024145407507991,0.618900711469807,"37","Western_1","Aflatoun",10237,"10/29/2010 13:35",1,0,0
"102","29","10","2010","13","11","Female",7,19,0.024145407507991,0.721408573656825,"38","Western_1","Aflatoun",10238,"10/29/2010 13:11",1,0,0
"102","29","10","2010","14","10","Female",0,35,0.024145407507991,-0.747188649489371,"39","Western_1","Aflatoun",10239,"10/29/2010 14:10",1,0,0
"102","29","10","2010","14","40","Male",0,75,-1.86893120371167,1.70295536245533,"40","Western_1","Aflatoun",10240,"10/29/2010 14:40",1,0,0
"102","29","10","2010","11","8","Female",0,21,-0.606880129565231,0.358230973225291,"22","Western_1","Aflatoun",10222,"10/29/2010 11:8",1,0,0
"103","13","10","2010","12","35","Male",9.5,13,0.024145407507991,0.277411699561705,"01","Western_11","Aflatoun",10301,"10/13/2010 12:35",1,0,0
"103","13","10","2010","12","20","Female",5,14,0.024145407507991,0.392221775240685,"03","Western_11","Aflatoun",10303,"10/13/2010 12:20",1,0,0
"103","13","10","2010","9","8","Male",0,11,0.024145407507991,-0.728556322823435,"04","Western_11","Aflatoun",10304,"10/13/2010 9:8",1,0,0
"103","13","10","2010","12","48","Female",5,12,0.024145407507991,-0.635894314650019,"05","Western_11","Aflatoun",10305,"10/13/2010 12:48",1,0,0
"103","13","10","2010","13","10","Female",4,-999,0.024145407507991,-999,"02","Western_11","Aflatoun",10302,"10/13/2010 13:10",1,0,0
"103","13","10","2010","13","0","Male",0,30,1.39422192346622,0.292221775240685,"07","Western_11","Aflatoun",10307,"10/13/2010 13:0",1,0,0
"103","13","10","2010","13","33","Female",0,12,0.024145407507991,0.718900711469807,"08","Western_11","Aflatoun",10308,"10/13/2010 13:33",1,0,0
"103","13","10","2010","9","44","Female",0,12,1.73674102693611,0.0315520369961682,"09","Western_11","Aflatoun",10309,"10/13/2010 9:44",1,0,0
"103","13","10","2010","12","6","Male",6,16,0.88044321722205,0.205826878869648,"06","Western_11","Aflatoun",10306,"10/13/2010 12:6",1,0,0
"103","14","10","2010","8","9","Male",7,17.5,-0.606880129565231,-0.0684479630038319,"11","Western_11","Aflatoun",10311,"10/14/2010 8:9",1,0,0
"103","14","10","2010","8","53","Male",9,461,0.024145407507991,-0.414307625569369,"12","Western_11","Aflatoun",10312,"10/14/2010 8:53",1,0,0
"103","14","10","2010","8","5","Female",1,13,-1.23790566663845,-0.323364510195905,"13","Western_11","Aflatoun",10313,"10/14/2010 8:5",1,0,0
"103","13","10","2010","10","14","Male",6,14,0.024145407507991,0.672535233856918,"14","Western_11","Aflatoun",10314,"10/13/2010 10:14",1,0,0
"103","14","10","2010","8","20","Male",1,11,1.73674102693611,-0.984533053899796,"15","Western_11","Aflatoun",10315,"10/14/2010 8:20",1,0,0
"103","14","10","2010","11","2","Male",0,15,1.73674102693611,-0.38335760416187,"16","Western_11","Aflatoun",10316,"10/14/2010 11:2",1,0,0
"103","14","10","2010","9","46","Male",0,13,0.024145407507991,-0.0684479630038319,"17","Western_11","Aflatoun",10317,"10/14/2010 9:46",1,0,0
"103","14","10","2010","8","35","Male",0,11,1.05170281999632,-0.772597527109962,"18","Western_11","Aflatoun",10318,"10/14/2010 8:35",1,0,0
"103","14","10","2010","8","45","Male",0,11,0.024145407507991,1.56580325335696,"19","Western_11","Aflatoun",10319,"10/14/2010 8:45",1,0,0
"103","14","10","2010","9","26","Female",0,12,0.024145407507991,-1.69178715266881,"20","Western_11","Aflatoun",10320,"10/14/2010 9:26",1,0,0
"103","14","10","2010","9","30","Male",0,11,0.024145407507991,1.53033046892848,"21","Western_11","Aflatoun",10321,"10/14/2010 9:30",1,0,0
"103","14","10","2010","9","15","Female",10,17,0.88044321722205,1.81242061881871,"22","Western_11","Aflatoun",10322,"10/14/2010 9:15",1,0,0
"103","13","10","2010","12","52","Male",20,16,1.22296232069194,-0.0851208271532284,"10","Western_11","Aflatoun",10310,"10/13/2010 12:52",1,0,0
"103","14","10","2010","10","41","Female",1.2,12,0.024145407507991,1.21705513255333,"24","Western_11","Aflatoun",10324,"10/14/2010 10:41",1,0,0
"103","14","10","2010","10","27","Male",1,11,0.024145407507991,0.965421317939316,"25","Western_11","Aflatoun",10325,"10/14/2010 10:27",1,0,0
"103","14","10","2010","10","20","Female",3.7,22,0.024145407507991,0.0315520369961682,"26","Western_11","Aflatoun",10326,"10/14/2010 10:20",1,0,0
"103","14","10","2010","9","55","Female",8,17,0.763196386392994,283.968332965513,"27","Western_11","Aflatoun",10327,"10/14/2010 9:55",1,0,0
"103","14","10","2010","12","19","Female",5,12,1.73674102693611,1.24096598294546,"28","Western_11","Aflatoun",10328,"10/14/2010 12:19",1,0,0
"103","13","10","2010","12","49","Female",4,17.5,0.024145407507991,0.960510137838122,"29","Western_11","Aflatoun",10329,"10/13/2010 12:49",1,0,0
"103","14","10","2010","11","6","Male",0,16,0.024145407507991,-0.662332207985241,"30","Western_11","Aflatoun",10330,"10/14/2010 11:6",1,0,0
"103","14","10","2010","11","14","Male",2.5,39,1.73674102693611,2.29551905709512,"31","Western_11","Aflatoun",10331,"10/14/2010 11:14",1,0,0
"103","14","10","2010","10","36","Female",0,12,0.537924113752157,0.452335395681739,"32","Western_11","Aflatoun",10332,"10/14/2010 10:36",1,0,0
"103","14","10","2010","12","55","Female",0,12,0.024145407507991,-0.653416800773548,"33","Western_11","Aflatoun",10333,"10/14/2010 12:55",1,0,0
"103","14","10","2010","12","10","Male",0,11,0.024145407507991,-0.0374979415963333,"34","Western_11","Aflatoun",10334,"10/14/2010 12:10",1,0,0
"103","14","10","2010","12","1","Female",5.1999998,32,1.73674102693611,-0.28335760416187,"35","Western_11","Aflatoun",10335,"10/14/2010 12:1",1,0,0
"103","14","10","2010","13","40","Male",12,26,0.024145407507991,-1.44823152881098,"36","Western_11","Aflatoun",10336,"10/14/2010 13:40",1,0,0
"103","14","10","2010","11","55","Male",3,16,0.366664536497547,-2.08348176923794,"37","Western_11","Aflatoun",10337,"10/14/2010 11:55",1,0,0
"103","14","10","2010","13","30","Female",0,19.5,1.73674102693611,0.392221775240685,"38","Western_11","Aflatoun",10338,"10/14/2010 13:30",1,0,0
"103","14","10","2010","13","4","Male",18.5,11,0.024145407507991,-1.69707640860685,"39","Western_11","Aflatoun",10339,"10/14/2010 13:4",1,0,0
"103","14","10","2010","12","40","Female",1,12,0.709183665487104,-3.04220916957373,"40","Western_11","Aflatoun",10340,"10/14/2010 12:40",1,0,0
"103","14","10","2010","11","44","Female",0,12,0.024145407507991,0.750920048518114,"23","Western_11","Aflatoun",10323,"10/14/2010 11:44",1,0,0
"104","7","10","2010","11","24","Female",2.5,12,0.024145407507991,-0.629217266727407,"01","Western_2","Aflatoun",10401,"10/7/2010 11:24",1,0,0
"104","7","10","2010","11","30","Male",2.5,11,0.024145407507991,-0.0684479630038319,"03","Western_2","Aflatoun",10403,"10/7/2010 11:30",1,0,0
"104","7","10","2010","11","20","Female",0,17,0.024145407507991,0.0315520369961682,"04","Western_2","Aflatoun",10404,"10/7/2010 11:20",1,0,0
"104","7","10","2010","11","25","Male",2.5,11,0.024145407507991,0.370467757317099,"05","Western_2","Aflatoun",10405,"10/7/2010 11:25",1,0,0
"104","7","10","2010","11","24","Female",0,22,0.024145407507991,-0.830079771217209,"02","Western_2","Aflatoun",10402,"10/7/2010 11:24",1,0,0
"104","6","10","2010","12","6","Male",5,16,1.56548142416184,0.672535233856918,"07","Western_2","Aflatoun",10407,"10/6/2010 12:6",1,0,0
"104","7","9","2010","12","31","Male",0,37,-1.86893120371167,0.292221775240685,"08","Western_2","Aflatoun",10408,"9/7/2010 12:31",1,0,0
"104","7","10","2010","12","13","Male",15,11,-1.86893120371167,-1.13570172435687,"09","Western_2","Aflatoun",10409,"10/7/2010 12:13",1,0,0
"104","7","10","2010","12","5","Male",0,16,0.024145407507991,-0.712748950835541,"06","Western_2","Aflatoun",10406,"10/7/2010 12:5",1,0,0
"104","7","10","2010","12","50","Female",4,42,1.73674102693611,0.253517742992766,"11","Western_2","Aflatoun",10411,"10/7/2010 12:50",1,0,0
"104","7","10","2010","12","40","Female",0,12.2,0.024145407507991,-0.294718527496118,"12","Western_2","Aflatoun",10412,"10/7/2010 12:40",1,0,0
"104","7","10","2010","13","1","Male",12,16.7,1.39422192346622,0.618492339732971,"13","Western_2","Aflatoun",10413,"10/7/2010 13:1",1,0,0
"104","7","10","2010","13","51","Female",0,18,0.366664536497547,0.750511676781278,"14","Western_2","Aflatoun",10414,"10/7/2010 13:51",1,0,0
"104","7","10","2010","13","0","Female",10,12,1.73674102693611,1.09921417008604,"15","Western_2","Aflatoun",10415,"10/7/2010 13:0",1,0,0
"104","7","10","2010","13","5","Male",0,11,0.366664536497547,0.346264669364631,"16","Western_2","Aflatoun",10416,"10/7/2010 13:5",1,0,0
"104","7","10","2010","13","30","Female",-999,52,0.024145407507991,1.52019547864028,"17","Western_2","Aflatoun",10417,"10/7/2010 13:30",1,0,0
"104","7","10","2010","13","30","Male",100,191,1.73674102693611,2.59759008754127,"18","Western_2","Aflatoun",10418,"10/7/2010 13:30",1,0,0
"104","7","10","2010","13","45","Male",0,11,0.024145407507991,-0.0026357738088005,"19","Western_2","Aflatoun",10419,"10/7/2010 13:45",1,0,0
"104","7","10","2010","13","55","Male",20,17,1.73674102693611,-0.0684479630038319,"20","Western_2","Aflatoun",10420,"10/7/2010 13:55",1,0,0
"104","8","10","2010","12","10","Female",0,12,0.024145407507991,3049.13734155578,"21","Western_2","Aflatoun",10421,"10/8/2010 12:10",1,0,0
"104","8","10","2010","8","50","Female",3.5,26,0.024145407507991,0.0315520369961682,"22","Western_2","Aflatoun",10422,"10/8/2010 8:50",1,0,0
"104","7","10","2010","12","20","Male",9,31,0.024145407507991,-0.039306107768283,"10","Western_2","Aflatoun",10410,"10/7/2010 12:20",1,0,0
"104","8","10","2010","10","1","Female",0,12,0.024145407507991,0.253926114729603,"35","Western_2","Aflatoun",10435,"10/8/2010 10:1",1,0,0
"104","8","10","2010","8","45","Female",3,13.7,1.39422192346622,0.470467757317099,"23","Western_2","Aflatoun",10423,"10/8/2010 8:45",1,0,0
"104","8","10","2010","8","46","Male",0,21,-1.86893120371167,0.584501537717577,"24","Western_2","Aflatoun",10424,"10/8/2010 8:46",1,0,0
"104","8","10","2010","8","40","Female",0,15,0.024145407507991,0.580196679221889,"25","Western_2","Aflatoun",10425,"10/8/2010 8:40",1,0,0
"104","8","10","2010","9","40","Female",5,17,0.024145407507991,0.614187481237283,"26","Western_2","Aflatoun",10426,"10/8/2010 9:40",1,0,0
"104","8","10","2010","9","35","Male",0,14,0.366664536497547,-1.77437994143081,"27","Western_2","Aflatoun",10427,"10/8/2010 9:35",1,0,0
"104","8","10","2010","9","27","Female",0,12,0.024145407507991,-0.314307625569368,"28","Western_2","Aflatoun",10428,"10/8/2010 9:27",1,0,0
"104","8","10","2010","9","47","Female",0,57,-1.86893120371167,0.784304528928002,"29","Western_2","Aflatoun",10429,"10/8/2010 9:47",1,0,0
"104","8","10","2010","9","4","Male",0,11,0.024145407507991,-1.14352818095194,"30","Western_2","Aflatoun",10430,"10/8/2010 9:4",1,0,0
"104","8","10","2010","10","35","Female",2,12,0.024145407507991,0.452533345550408,"31","Western_2","Aflatoun",10431,"10/8/2010 10:35",1,0,0
"104","8","10","2010","10","3","Female",3,13.2,0.024145407507991,0.415603280013819,"32","Western_2","Aflatoun",10432,"10/8/2010 10:3",1,0,0
